Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[ft],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
7/5/26 8:28:51 PM,Amar,,,7 Iron,81.69291338582678,-0.96,1.25,1.11,-0.1399999999999999,92.98944097804272,1.1382803859480892,19.899999618530273,1.0700000524520874,3607.0126953125,-132.89353942871094,3609.4599609375,Measured,2.109999895095825,55.44619297418068,126.65135341053559,1.7699999809265137,3.915135524612921,138.17803857624793,1.5299999713897705,3.6964130735355623,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:30:05 PM,Amar,,,7 Iron,81.93897637795277,-3.04,1.38,1.72,0.3400000000000001,111.33232027953578,1.3587223712193193,19.510000228881836,1.590000033378601,5315.1640625,-143.82411193847656,5317.10986328125,Measured,1.5499999523162842,89.69816323027523,159.0223137162176,2.3399999141693115,6.506998916519178,159.0223137162176,2.3399999141693115,6.506998916519178,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:30:27 PM,Amar,,,7 Iron,84.66803865425914,-3.83,0.73,4.82,4.09,114.59824521795886,1.353500648407829,19.959999084472656,4.050000190734863,5029.12744140625,-722.9163818359375,5080.81982421875,Measured,8.180000305175781,96.71915860313756,164.61067833821187,8.069999694824219,23.097113778689195,171.20516519221107,7.730000019073486,23.04243186223121,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:30:46 PM,Amar,,,7 Iron,88.15765926986398,-4.34,-1.35,-0.16,1.1900000000000002,112.65211303317726,1.2778482773496973,17.709999084472656,-0.30000001192092896,5510.90625,-718.6760864257812,5557.56982421875,Measured,7.429999828338623,83.56298987321027,159.93001475630365,3.3399999141693115,9.328521142794392,159.93001475630365,3.3399999141693115,9.328521142794392,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:31:05 PM,Amar,,,7 Iron,88.64978525411597,-4.63,0.22,5.43,5.21,110.61650134873715,1.2477920959611266,21.350000381469727,4.489999771118164,5252.2724609375,-1515.9903564453125,5466.68017578125,Measured,16.100000381469727,94.19291038212813,154.60410664609307,12.289999961853027,32.895887930562175,168.50393901033976,13.260000228881836,38.64829413012674,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:31:37 PM,Amar,,,7 Iron,84.48908375089478,-3.03,3.39,8.38,4.99,111.66785560340308,1.321683827613061,21.239999771118164,7.309999942779541,6140.16357421875,-1112.5360107421875,6240.14013671875,Measured,10.270000457763672,98.95013073297936,153.65266841644794,12.59000015258789,33.497374410287186,164.9825028547152,13.180000305175781,37.60936066234519,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:31:58 PM,Amar,,,7 Iron,82.67716535433071,-0.31,0.63,5.08,4.45,101.78060128847531,1.231060606060606,20.989999771118164,4.25,4383.56884765625,-963.7901000976562,4488.27001953125,Measured,12.399999618530273,75.2296597938838,143.3399030229864,9.380000114440918,23.37051710327362,154.42914120064216,9.069999694824219,24.343832271305594,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:32:17 PM,Amar,,,7 Iron,85.76413743736579,-6.14,-5.14,1.56,6.699999999999999,114.46402596847108,1.3346374065974258,18.5,0.6399999856948853,6142.31787109375,-1086.3726806640625,6237.64990234375,Measured,10.029999732971191,91.63385926894941,159.37226129433407,5.800000190734863,16.108923383897995,165.83551989244143,4.309999942779541,12.467191183869502,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:32:37 PM,Amar,,,7 Iron,89.4774516821761,-5.59,-4.01,0.89,4.8999999999999995,111.37706002936504,1.2447500228881836,11.239999771118164,0.23000000417232513,5084.24658203125,-2257.275634765625,5562.81005859375,Measured,23.940000534057617,45.27559117695165,145.57086680922086,10.140000343322754,25.634296297088383,158.36613906232913,10.359999656677246,28.47769128994679,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:32:56 PM,Amar,,,7 Iron,86.8378668575519,-5.28,0.51,1.73,1.22,117.3720499747296,1.3516229062520124,18.540000915527344,1.4900000095367432,5298.7421875,-610.27392578125,5333.77001953125,Measured,6.570000171661377,95.96456692913385,169.3022720457062,4.829999923706055,14.260717368605674,169.3022720457062,4.829999923706055,14.260717368605674,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:33:15 PM,Amar,,,7 Iron,83.97458840372227,-3.89,-6.65,2.01,8.66,107.61900637605486,1.2815663455075004,18.450000762939453,0.8199999928474426,5001.78466796875,-1514.8917236328125,5226.16015625,Measured,16.850000381469727,74.73753506117292,150.20779320157,8.390000343322754,21.905075116628947,159.6456646189185,8.420000076293945,23.37051710327362,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:33:35 PM,Amar,,,7 Iron,87.21814602720116,-2.75,-0.15,2.76,2.9099999999999997,117.75232504842617,1.3500897509527683,20.110000610351562,2.25,6446.0693359375,-1018.650634765625,6526.06005859375,Measured,8.979999542236328,106.62729658792651,162.7515390684807,7.170000076293945,20.297462233095345,167.3884487736152,6.869999885559082,20.024058908510916,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:33:55 PM,Amar,,,7 Iron,89.25375805297065,-3.84,1.43,3.48,2.05,118.35629887126903,1.3260651590830104,20.65999984741211,3.0299999713897705,5683.27294921875,-535.2258911132812,5708.419921875,Measured,5.380000114440918,109.80971529102075,168.1102375554496,5.909999847412109,17.300962045958244,168.1102375554496,5.909999847412109,17.300962045958244,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:34:40 PM,Amar,,,7 Iron,87.24051539012169,-4.42,-4.05,-0.4,3.65,116.02988307955611,1.3299999726124299,19.549999237060547,-0.8399999737739563,5297.0302734375,-517.5115966796875,5322.25,Measured,5.579999923706055,98.62204549193694,166.98381719313895,1.9900000095367432,5.807086551596173,166.98381719313895,1.9900000095367432,5.807086551596173,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:35:02 PM,Amar,,,7 Iron,89.09717251252684,-3.53,2.42,2.14,-0.2799999999999998,112.5402679252215,1.2631182870522475,19.579999923706055,2.059999942779541,6414.26953125,143.31997680664062,6415.8701171875,Measured,-1.2799999713897705,94.68504137254449,156.26640353198647,1.3899999856948853,3.7948381765203734,156.26640353198647,1.3899999856948853,3.7948381765203734,,,,,1.1783168,71.6,100.33,50,,,,,,,,
7/5/26 8:35:25 PM,Amar,,,7 Iron,87.68790264853257,-2.93,0.29,2.34,2.05,117.14835122558331,1.3359693605072642,20.760000228881836,1.9600000381469727,6136.2822265625,-586.5333862304688,6164.25,Measured,5.460000038146973,108.69422922609985,163.97638062271025,4.909999847412109,14.041994917528314,163.97638062271025,4.909999847412109,14.041994917528314,,,,,1.1783168,71.6,100.33,50,,,,,,,,
