Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[ft],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
7/2/26 11:57:59 AM,Amar,,,Pitching Wedge,75.83214030064424,-3.63,1.14,-4.43,-5.569999999999999,93.01181511957473,1.2265487265797843,23.600000381469727,-3.5,7143.1396484375,822.6993408203125,7190.35986328125,Measured,-6.570000171661377,74.40944982013052,119.92563830064455,-6.420000076293945,-13.418635671220114,126.1264236997536,-6.539999961853027,-14.359142732328213,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 11:58:16 AM,Amar,,,Pitching Wedge,77.35325697924122,-3.05,-0.74,-6.57,-5.83,100.17000442756101,1.2949681544041896,23.770000457763672,-5.489999771118164,7090.56396484375,1500.6796875,7247.6298828125,Measured,-11.949999809265137,87.69684889185146,131.01487647830032,-11.270000457763672,-25.601487147213593,136.73446935618642,-11.449999809265137,-27.143481730997614,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 11:58:39 AM,Amar,,,Pitching Wedge,77.39799570508232,-4.8,3.61,2.13,-1.48,96.38958516595359,1.2453757269534071,24.149999618530273,2.200000047683716,7561.72314453125,105.58842468261719,7562.4599609375,Measured,-0.800000011920929,83.36614123166702,124.48600375224703,1.8200000524520874,3.9588800148283925,129.6150444477979,1.809999942779541,4.090113746212536,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 11:59:19 AM,Amar,,,Pitching Wedge,83.92984967788118,-3.67,3.83,-6.19,-10.02,103.10039404211679,1.2284115179261164,22.770000457763672,-4.599999904632568,7355.69287109375,1898.2030029296875,7596.669921875,Measured,-14.470000267028809,89.14042019781478,134.809707614902,-11.84000015258789,-27.668415613583274,140.21216832225196,-12.050000190734863,-29.276028497116876,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 11:59:40 AM,Amar,,,Pitching Wedge,83.23639942734431,-3.95,3.41,-0.81,-4.220000000000001,102.80958993484398,1.235151816298647,23.860000610351562,-0.23999999463558197,8153.3427734375,894.3764038085938,8202.25,Measured,-6.260000228881836,95.14435695538057,132.58967395425364,-3.4800000190734863,-8.048994021778658,136.7126007614069,-3.549999952316284,-8.464566678825639,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:00:31 PM,Amar,,,Pitching Wedge,80.70866141732283,-2.12,1.21,-5.76,-6.97,99.09627603136308,1.2278270298520109,24.719999313354492,-4.579999923706055,7818.14208984375,1157.271484375,7903.330078125,Measured,-8.420000076293945,90.41994575440414,127.39501078714953,-8.739999771118164,-19.34601983164656,131.84601657763972,-8.84000015258789,-20.253718785830788,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:00:45 PM,Amar,,,Pitching Wedge,80.35075161059413,-2.84,0.22,2.58,2.36,95.47244162754068,1.188195999587299,25.350000381469727,2.140000104904175,8426.9169921875,-375.2952880859375,8435.26953125,Measured,2.549999952316284,86.45013248513689,120.47244494981341,3.380000114440918,7.097550055903504,123.97200416705114,3.4000000953674316,7.360017518671792,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:01:02 PM,Amar,,,Pitching Wedge,80.03758052970652,-4.2,-1.04,0.86,1.9,85.51807342125163,1.0684739950317588,23.229999542236328,0.5799999833106995,8478.17578125,-300.5090637207031,8483.5,Measured,2.0299999713897705,61.28609024007802,105.29308702897734,1.4299999475479126,2.62467202030559,110.22528534069045,1.4600000381469727,2.810586103721345,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:01:18 PM,Amar,,,Pitching Wedge,85.8759842519685,-2.48,0.78,-6.41,-7.19,104.66625115320183,1.2188070048326998,23.329999923706055,-5.170000076293945,7787.44677734375,2025.5751953125,8046.56982421875,Measured,-14.579999923706055,94.75065341458858,135.65179452704214,-12.720000267028809,-29.866578593550287,140.17934457106435,-12.890000343322754,-31.27734074963881,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:01:31 PM,Amar,,,Pitching Wedge,85.20490336435219,-3.63,4.07,-1.07,-5.140000000000001,104.66625115320183,1.2284064299167061,24.3799991607666,-0.3700000047683716,7837.8408203125,776.7944946289062,7876.240234375,Measured,-5.659999847412109,100.78739932202917,135.84864525448722,-3.3399999141693115,-7.906824167840646,140.24497538622492,-3.4000000953674316,-8.311460963071488,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:01:44 PM,Amar,,,Pitching Wedge,84.60093056549749,-3.45,0.03,0.3,0.27,97.82122302755084,1.1562665135440595,25.34000015258789,0.25,7972.525390625,-307.66705322265625,7978.4599609375,Measured,2.2100000381469727,90.81364929519613,125.043740527002,1.340000033378601,2.919947589997753,129.21041286732165,1.3600000143051147,3.073053305751904,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:01:59 PM,Amar,,,Pitching Wedge,83.37061560486758,-3.98,-5.61,-6.35,-0.7399999999999993,107.12687766116777,1.2849476627219865,23.43000030517578,-5.920000076293945,7417.67919921875,1396.22216796875,7547.93994140625,Measured,-10.65999984741211,100.72178727998508,140.8683262889258,-11.529999732971191,-28.149606048904378,145.997375328084,-11.65999984741211,-29.516622671826514,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:02:14 PM,Amar,,,Pitching Wedge,83.12455261274158,-3.26,1.18,-2.44,-3.62,98.38045710056444,1.183530665829826,20.899999618530273,-1.850000023841858,7897.58251953125,66.16417694091797,7897.85986328125,Measured,-0.47999998927116394,75.42650843542704,127.66841411173397,-2.0799999237060547,-4.647856517935258,133.10367353944955,-2.0899999141693115,-4.855643107196477,,,,,1.1781987,71.6,100.32,50,,,,,,,,
7/2/26 12:02:27 PM,Amar,,,Pitching Wedge,80.2389047959914,-3.41,1.64,1.44,-0.19999999999999996,90.50644032854477,1.1279620597845736,26.559999465942383,1.3899999856948853,7270.90869140625,-587.557861328125,7294.60986328125,Measured,4.619999885559082,79.98687388702953,114.78565079229293,3.430000066757202,6.878827604826146,119.92563830064455,3.5,7.31627302845632,,,,,1.1781987,71.6,100.32,50,,,,,,,,
