Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[ft],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
8/2/26 8:40:21 PM,Amar,,,6 Iron,77.04008589835361,-3.06,-1.92,-0.07,1.8499999999999999,101.89244639643107,1.3225899894616884,18.459999084472656,-0.30000001192092896,5228.25,-493.29449462890625,5251.47021484375,Measured,5.389999866485596,67.51968478906186,140.51837871080934,2.0,4.910323459228088,150.94051210899053,2.009999990463257,5.293088530826652,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:40:40 PM,Amar,,,6 Iron,81.15604867573371,-0.23,-1.87,-3.09,-1.2199999999999998,86.03256774443597,1.0600881776315505,19.989999771118164,-2.7799999713897705,3420.157958984375,-458.1692199707031,3450.7099609375,Measured,7.630000114440918,45.20997287720207,112.47812606531178,-0.5299999713897705,-1.049868742937804,131.14610473419216,-0.20000000298023224,-0.4593175709612622,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:41:02 PM,Amar,,,6 Iron,83.79563350035791,-3.52,-5.85,-0.61,5.239999999999999,106.05314926496982,1.2656166536949307,18.399999618530273,-1.2300000190734863,5867.7900390625,-1247.2373046875,5998.8798828125,Measured,12.0,74.70472591129813,145.29746348463644,4.329999923706055,10.968941090300953,154.52756239256104,4.579999923706055,12.346894096514685,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:41:24 PM,Amar,,,6 Iron,88.58267716535434,-2.25,-1.78,0.95,2.73,113.45741146363441,1.2808081116339172,20.459999084472656,0.5600000023841858,6375.326171875,-1262.3485107421875,6499.10009765625,Measured,11.199999809265137,98.88451243322977,155.9711232690152,6.409999847412109,17.41032379297238,159.16447209769555,6.389999866485596,17.70559988414,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:41:43 PM,Amar,,,6 Iron,90.5959198282033,-1.81,-4.46,-0.38,4.08,115.22458464909897,1.2718518104082273,21.290000915527344,-0.8700000047683716,6039.70654296875,-1697.6849365234375,6273.77001953125,Measured,15.699999809265137,104.33070615833512,158.7707706428054,7.369999885559082,20.35214414955333,161.63604883175614,7.420000076293945,20.888014415430586,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:42:01 PM,Amar,,,6 Iron,91.64727988546886,-3.3,-3.97,-1.92,2.0500000000000003,116.70096226052549,1.2733707143994464,17.75,-2.069999933242798,6112.8994140625,-793.927001953125,6164.240234375,Measured,7.400000095367432,92.38845094295311,163.06867958262418,1.7699999809265137,5.041557451349961,168.2524126241422,2.0199999809265137,5.938320022242588,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:42:20 PM,Amar,,,6 Iron,89.18664996420901,-1.53,-5.22,-2.6,2.6199999999999997,116.74570201035475,1.309004229413318,16.280000686645508,-2.7899999618530273,5752.0751953125,-1295.231201171875,5896.10009765625,Measured,12.6899995803833,82.93963479870573,163.45145091192825,3.569999933242798,10.170603883130866,167.50874690392095,3.759999990463257,11.001750240175744,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:42:39 PM,Amar,,,6 Iron,89.65640658554044,-2.53,-9.26,-5.82,3.4399999999999995,120.61560077162069,1.3453093355525279,16.510000228881836,-5.940000057220459,5953.4501953125,-696.2095947265625,5994.02001953125,Measured,6.670000076293945,93.11023346708203,172.48469074880043,-2.390000104904175,-7.185039557809905,172.48469074880043,-2.390000104904175,-7.185039557809905,,,,,1.1713529,71.6,99.74,50,,,,,,,,
8/2/26 8:42:59 PM,Amar,,,6 Iron,92.74337866857552,-1.67,-4.57,-1.58,2.99,90.75250468598833,0.9785335189296724,20.06999969482422,-1.8700000047683716,5651.20849609375,-2157.986572265625,6049.22021484375,Measured,20.899999618530273,54.363516059134575,116.20735141757488,6.110000133514404,12.368766863097878,127.40594925634296,6.349999904632568,14.096675791035382,,,,,1.1713529,71.6,99.74,50,,,,,,,,
